date,bike_numbers
2017-06-28,632
2017-06-29,1019
2017-06-30,1038
2017-07-01,475
2017-07-02,523
2017-07-03,600
2017-07-04,558
2017-07-05,1103
2017-07-06,1277
2017-07-07,1126
2017-07-08,659
2017-07-09,433
2017-07-10,1347
2017-07-11,1506
2017-07-12,1556
2017-07-13,1691
2017-07-14,1628
2017-07-15,1086
2017-07-16,955
2017-07-17,1735
2017-07-18,1877
2017-07-19,1995
2017-07-20,1938
2017-07-21,1975
2017-07-22,1449
2017-07-23,1190
2017-07-24,2131
2017-07-25,2066
2017-07-26,2249
2017-07-27,2112
2017-07-28,2082
2017-07-29,1333
2017-07-30,1278
2017-07-31,2140
2017-08-01,2352
2017-08-02,2541
2017-08-03,2582
2017-08-04,2463
2017-08-05,1918
2017-08-06,1494
2017-08-07,2755
2017-08-08,2596
2017-08-09,2677
2017-08-10,2719
2017-08-11,2771
2017-08-12,1945
2017-08-13,1837
2017-08-14,2711
2017-08-15,2849
2017-08-16,3030
2017-08-17,3312
2017-08-18,3082
2017-08-19,1931
2017-08-20,1973
2017-08-21,2902
2017-08-22,3259
2017-08-23,3372
2017-08-24,3138
2017-08-25,3189
2017-08-26,2114
2017-08-27,1978
2017-08-28,3320
2017-08-29,3306
2017-08-30,3481
2017-08-31,3695
2017-09-01,3213
2017-09-02,1917
2017-09-03,1993
2017-09-04,1909
2017-09-05,3723
2017-09-06,3893
2017-09-07,3923
2017-09-08,3761
2017-09-09,2539
2017-09-10,2041
2017-09-11,3378
2017-09-12,3919
2017-09-13,3722
2017-09-14,3784
2017-09-15,3606
2017-09-16,2428
2017-09-17,2554
2017-09-18,3754
2017-09-19,4098
2017-09-20,3877
2017-09-21,3965
2017-09-22,3918
2017-09-23,2435
2017-09-24,2114
2017-09-25,3763
2017-09-26,3930
2017-09-27,4183
2017-09-28,4166
2017-09-29,3663
2017-09-30,2389
2017-10-01,2261
2017-10-02,4043
2017-10-03,4323
2017-10-04,4380
2017-10-05,4265
2017-10-06,3974
2017-10-07,2445
2017-10-08,2152
2017-10-09,3635
2017-10-10,3925
2017-10-11,3888
